AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
2020,620,3,ESCUELA JOSE ALFARO ALFARO,,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,-29.957069000000000,-71.26162700000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,7,LAICA,GRATUITO,GRATUITO
2020,621,1,ESCUELA BASICA MARIO MUNOZ SILVA,,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,-29.967279000000000,-71.32762099999999,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,623,8,CENTRO LABORAL JEAN PIAGET,,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,-29.967145920000000,-71.32640076000000,0,212,0,0,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2020,624,6,ESCUELA DIFERENCIAL JUAN SANDOVAL C.,,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,-29.967689510000000,-71.32416533999999,0,212,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,625,4,ESCUELA TOMASA OLIVARES CAAMANO,,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,-29.961390000000000,-71.34879300000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2020,626,2,ESCUELA BASICA DAVID LEON TAPIA,,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,-30.263170000000000,-71.48988300000001,1,10,110,299,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2020,628,9,ESCUELA DE PENUELAS,,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,-29.951580000000000,-71.29620400000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2020,629,7,COLEGIO PABLO NERUDA,,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,1,-30.050680000000000,-71.25240300000000,1,10,110,310,510,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2020,630,0,COLEGIO LA HERRADURA,,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,-29.986130000000000,-71.36121400000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,7,LAICA,GRATUITO,GRATUITO
2020,631,9,ESCUELA SAN RAFAEL,,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,-30.010710000000000,-71.25676700000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2020,632,7,ESCUELA BASICA MANUEL DE SALAS,,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,-30.199490000000000,-71.42973300000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,7,LAICO,GRATUITO,GRATUITO
2020,634,3,ESCUELA DE HUACHALALUME,,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,1,-29.975420000000000,-71.21936800000000,1,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,635,1,ESCUELA DE TOTORALILLO,,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,1,-30.064871000000000,-71.36621100000001,1,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,637,8,ESCUELA LUCILA GODOY ALCAYAGA,,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,-29.973810000000000,-71.29910300000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,7,LAICA,GRATUITO,GRATUITO
2020,638,6,ESCUELA DE CAMARONES,,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,1,-30.436291000000000,-71.37904399999999,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2020,639,4,ESCUELA DE LAS BARRANCAS,,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,1,-30.213289000000000,-71.25787400000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
